id,actividad,ia_nivel,ia_valor,datos_nivel,datos_valor,cuadrante
1,"Monitorear prensa internacional, comunicados oficiales y coyuntura política",Alto,3,Medio,2,Alta IA · Bajo Datos
2,Elaborar alertas tempranas (“risk flashes”) y reportes de situación,Alto,3,Alto,3,Alta IA · Alto Datos
3,Elaborar briefs diarios/semanales y resúmenes ejecutivos (one-pagers),Alto,3,Medio,2,Alta IA · Bajo Datos
4,"Analizar riesgos políticos, sociales, económicos y de seguridad",Medio,2,Alto,3,Baja IA · Alto Datos
5,Construir escenarios (base/optimista/adverso) por país/sector,Alto,3,Alto,3,Alta IA · Alto Datos
6,Mapear actores clave y redes de influencia (stakeholder mapping),Medio,2,Medio,2,Baja IA · Bajo Datos
7,Mantener y actualizar directorios de contactos estratégicos,Bajo,1,Bajo,1,Baja IA · Bajo Datos
8,Preparar agendas para reuniones y puntos de conversación (talking points),Alto,3,Bajo,1,Alta IA · Bajo Datos
9,"Redactar discursos, mensajes institucionales y posicionamientos oficiales",Alto,3,Bajo,1,Alta IA · Bajo Datos
10,Coordinar reuniones bilaterales y multilaterales,Bajo,1,Bajo,1,Baja IA · Bajo Datos
11,"Negociar textos, acuerdos, memorandos y resoluciones",Medio,2,Bajo,1,Baja IA · Bajo Datos
12,"Dar seguimiento a minutas, acuerdos, compromisos y mecanismos de consulta",Medio,2,Bajo,1,Baja IA · Bajo Datos
13,Preparar expedientes para visitas oficiales y participación en cumbres/foros,Medio,2,Bajo,1,Baja IA · Bajo Datos
14,"Organizar visitas de alto nivel (logística, seguridad, protocolo)",Bajo,1,Bajo,1,Baja IA · Bajo Datos
15,Gestionar asuntos de protocolo y precedencia,Bajo,1,Bajo,1,Baja IA · Bajo Datos
16,Coordinar con dependencias gubernamentales y otras instituciones nacionales,Bajo,1,Bajo,1,Baja IA · Bajo Datos
17,Coordinar con embajadas de terceros países y organismos internacionales,Bajo,1,Bajo,1,Baja IA · Bajo Datos
18,"Realizar diplomacia pública (eventos culturales, conferencias, campañas)",Medio,2,Bajo,1,Baja IA · Bajo Datos
19,Gestionar comunicación institucional y relación con medios,Medio,2,Bajo,1,Baja IA · Bajo Datos
